episode_id,total_timesteps,deadlock,total_meals,throughput,fairness,meals_per_philosopher
0,30,False,17,0.5666666666666667,0.47058823529411753,8;1;5;2;1
1,30,False,17,0.5666666666666667,0.5882352941176472,7;4;2;3;1
2,30,False,16,0.5333333333333333,0.53125,6;1;6;1;2
3,30,False,18,0.6,0.6944444444444444,6;4;4;3;1
4,30,False,16,0.5333333333333333,0.4062499999999999,9;1;4;1;1
5,30,False,16,0.5333333333333333,0.5624999999999999,6;3;5;1;1
6,30,False,17,0.5666666666666667,0.7352941176470587,3;5;4;1;4
7,30,False,20,0.6666666666666666,0.7250000000000001,1;5;4;4;6
8,30,False,18,0.6,0.5833333333333331,7;1;3;5;2
9,30,False,18,0.6,0.6666666666666667,3;3;6;1;5
10,30,False,18,0.6,0.5277777777777778,7;2;5;4;0
11,30,False,17,0.5666666666666667,0.7058823529411764,6;2;3;4;2
12,30,False,19,0.6333333333333333,0.736842105263158,5;5;1;5;3
13,30,False,18,0.6,0.6388888888888888,5;2;6;1;4
14,12,True,6,0.5,0.4999999999999998,3;1;0;1;1
15,30,False,20,0.6666666666666666,0.47499999999999987,6;5;1;8;0
16,30,False,17,0.5666666666666667,0.8529411764705882,4;4;2;3;4
17,30,False,19,0.6333333333333333,0.6842105263157894,6;3;4;5;1
18,30,False,20,0.6666666666666666,0.7,4;6;2;6;2
19,30,False,15,0.5,0.6666666666666667,1;5;4;3;2
